rate,source,target,time
0.0220281,RUB,ANG,2025-11-17T09:54:22+0000
45.3966,ANG,RUB,2025-11-17T09:54:22+0000
1.07751,BND,CAD,2025-11-17T09:54:22+0000
0.92807,CAD,BND,2025-11-17T09:54:22+0000
0.432691,KHR,MWK,2025-11-17T09:54:22+0000
2.31112,MWK,KHR,2025-11-17T09:54:22+0000
1.31655,GBP,CUC,2025-11-17T09:54:22+0000
0.759561,CUC,GBP,2025-11-17T09:54:22+0000
0.0469987,STN,BMD,2025-11-17T09:54:22+0000
21.2772,BMD,STN,2025-11-17T09:54:22+0000
251.481,BOB,MWK,2025-11-17T09:54:22+0000
0.00397645,MWK,BOB,2025-11-17T09:54:22+0000
0.10722,SRD,MYR,2025-11-17T09:54:22+0000
9.3266,MYR,SRD,2025-11-17T09:54:22+0000
19.2856,MAD,DJF,2025-11-17T09:54:22+0000
0.0518522,DJF,MAD,2025-11-17T09:54:22+0000
212.636,PGK,KPW,2025-11-17T09:54:22+0000
0.00470288,KPW,PGK,2025-11-17T09:54:22+0000
0.00550224,LKR,BGN,2025-11-17T09:54:22+0000
181.744,BGN,LKR,2025-11-17T09:54:22+0000
4.34983,AOA,KHR,2025-11-17T09:54:22+0000
0.229894,KHR,AOA,2025-11-17T09:54:22+0000
24.0867,JOD,LSL,2025-11-17T09:54:22+0000
0.0415166,LSL,JOD,2025-11-17T09:54:22+0000
0.000882539,GNF,GTQ,2025-11-17T09:54:22+0000
1133.09,GTQ,GNF,2025-11-17T09:54:22+0000
0.0185363,AOA,LSL,2025-11-17T09:54:22+0000
53.9482,LSL,AOA,2025-11-17T09:54:22+0000
1.44054,AFN,CVE,2025-11-17T09:54:22+0000
0.694182,CVE,AFN,2025-11-17T09:54:22+0000
104.608,BBD,GYD,2025-11-17T09:54:22+0000
0.00955954,GYD,BBD,2025-11-17T09:54:22+0000
17.1989,CNY,BDT,2025-11-17T09:54:22+0000
0.0581431,BDT,CNY,2025-11-17T09:54:22+0000
0.0127964,DOP,KYD,2025-11-17T09:54:22+0000
78.147,KYD,DOP,2025-11-17T09:54:22+0000
0.0501711,KES,HRK,2025-11-17T09:54:22+0000
19.9318,HRK,KES,2025-11-17T09:54:22+0000
1.63584,FJD,SAR,2025-11-17T09:54:22+0000
0.611308,SAR,FJD,2025-11-17T09:54:22+0000
0.689477,SCR,NOK,2025-11-17T09:54:22+0000
1.45037,NOK,SCR,2025-11-17T09:54:22+0000
0.00259396,UGX,TJS,2025-11-17T09:54:22+0000
385.511,TJS,UGX,2025-11-17T09:54:22+0000
6.07892,WST,MDL,2025-11-17T09:54:22+0000
0.164503,MDL,WST,2025-11-17T09:54:22+0000
0.0285598,LKR,SVC,2025-11-17T09:54:22+0000
35.0143,SVC,LKR,2025-11-17T09:54:22+0000
0.866337,TZS,MMK,2025-11-17T09:54:22+0000
1.15429,MMK,TZS,2025-11-17T09:54:22+0000
0.024537,ETB,AED,2025-11-17T09:54:22+0000
40.7547,AED,ETB,2025-11-17T09:54:22+0000
0.691449,GTQ,BRL,2025-11-17T09:54:22+0000
1.44624,BRL,GTQ,2025-11-17T09:54:22+0000
0.0347583,IRR,NGN,2025-11-17T09:54:22+0000
28.7701,NGN,IRR,2025-11-17T09:54:22+0000
0.26416,DJF,EGP,2025-11-17T09:54:22+0000
3.78559,EGP,DJF,2025-11-17T09:54:22+0000
6.96243,TTD,EGP,2025-11-17T09:54:22+0000
0.143628,EGP,TTD,2025-11-17T09:54:22+0000
381.902,USD,AMD,2025-11-17T09:54:22+0000
0.00261847,AMD,USD,2025-11-17T09:54:22+0000
29.7878,MOP,YER,2025-11-17T09:54:22+0000
0.0335708,YER,MOP,2025-11-17T09:54:22+0000
0.0114612,AFN,JEP,2025-11-17T09:54:22+0000
87.2507,JEP,AFN,2025-11-17T09:54:22+0000
79.9775,BBD,JMD,2025-11-17T09:54:22+0000
0.0125035,JMD,BBD,2025-11-17T09:54:22+0000
37.3115,TOP,BTN,2025-11-17T09:54:22+0000
0.0268014,BTN,TOP,2025-11-17T09:54:22+0000
582.31,UYU,SLL,2025-11-17T09:54:22+0000
0.0017173,SLL,UYU,2025-11-17T09:54:22+0000
0.783659,AWG,CAD,2025-11-17T09:54:22+0000
1.27606,CAD,AWG,2025-11-17T09:54:22+0000
59.1551,MVR,KPW,2025-11-17T09:54:22+0000
0.0169047,KPW,MVR,2025-11-17T09:54:22+0000
1.0086,BGN,AZN,2025-11-17T09:54:22+0000
0.991472,AZN,BGN,2025-11-17T09:54:22+0000
60.9428,UYU,TZS,2025-11-17T09:54:22+0000
0.0164088,TZS,UYU,2025-11-17T09:54:22+0000
742.661,SHP,XAF,2025-11-17T09:54:22+0000
0.00134651,XAF,SHP,2025-11-17T09:54:22+0000
0.0635149,VES,ERN,2025-11-17T09:54:22+0000
15.7443,ERN,VES,2025-11-17T09:54:22+0000
57.7963,AUD,INR,2025-11-17T09:54:22+0000
0.0173021,INR,AUD,2025-11-17T09:54:22+0000
4.68495,QAR,NAD,2025-11-17T09:54:22+0000
0.21345,NAD,QAR,2025-11-17T09:54:22+0000
1098.1,CUP,VND,2025-11-17T09:54:22+0000
0.00091066,VND,CUP,2025-11-17T09:54:22+0000
3.77733,ETB,XOF,2025-11-17T09:54:22+0000
0.264738,XOF,ETB,2025-11-17T09:54:22+0000
0.00550273,LKR,BAM,2025-11-17T09:54:22+0000
181.728,BAM,LKR,2025-11-17T09:54:22+0000
2.0299,MZN,KES,2025-11-17T09:54:22+0000
0.492636,KES,MZN,2025-11-17T09:54:22+0000
1.37199,MOP,GHS,2025-11-17T09:54:22+0000
0.728867,GHS,MOP,2025-11-17T09:54:22+0000
359.875,PLN,IQD,2025-11-17T09:54:22+0000
0.00277874,IQD,PLN,2025-11-17T09:54:22+0000
241.3,FKP,LRD,2025-11-17T09:54:22+0000
0.00414422,LRD,FKP,2025-11-17T09:54:22+0000
0.0581428,VES,ZWL,2025-11-17T09:54:22+0000
17.199,ZWL,VES,2025-11-17T09:54:22+0000
0.0628434,AMD,CUP,2025-11-17T09:54:22+0000
15.9126,CUP,AMD,2025-11-17T09:54:22+0000
0.0226943,PYG,JMD,2025-11-17T09:54:22+0000
44.064,JMD,PYG,2025-11-17T09:54:22+0000
16738.0,USD,IDR,2025-11-17T09:54:22+0000
5.97443e-05,IDR,USD,2025-11-17T09:54:22+0000
0.277909,SLE,DKK,2025-11-17T09:54:22+0000
3.59831,DKK,SLE,2025-11-17T09:54:22+0000
0.455465,KES,PHP,2025-11-17T09:54:22+0000
2.19556,PHP,KES,2025-11-17T09:54:22+0000
0.0557139,AMD,STN,2025-11-17T09:54:22+0000
17.9488,STN,AMD,2025-11-17T09:54:22+0000
0.503451,MVR,GTQ,2025-11-17T09:54:22+0000
1.98629,GTQ,MVR,2025-11-17T09:54:22+0000
0.273212,WST,SHP,2025-11-17T09:54:22+0000
3.66016,SHP,WST,2025-11-17T09:54:22+0000
0.129994,LYD,JOD,2025-11-17T09:54:22+0000
7.69267,JOD,LYD,2025-11-17T09:54:22+0000
326.066,AUD,CRC,2025-11-17T09:54:22+0000
0.00306686,CRC,AUD,2025-11-17T09:54:22+0000
0.054533,AMD,CZK,2025-11-17T09:54:22+0000
18.3375,CZK,AMD,2025-11-17T09:54:22+0000
14559.9,GIP,SYP,2025-11-17T09:54:22+0000
6.86816e-05,SYP,GIP,2025-11-17T09:54:22+0000
0.00391512,UZS,EGP,2025-11-17T09:54:22+0000
255.42,EGP,UZS,2025-11-17T09:54:22+0000
0.0165501,SOS,SEK,2025-11-17T09:54:22+0000
60.4224,SEK,SOS,2025-11-17T09:54:22+0000
0.00154408,SYP,LSL,2025-11-17T09:54:22+0000
647.636,LSL,SYP,2025-11-17T09:54:22+0000
0.545189,MDL,MAD,2025-11-17T09:54:22+0000
1.83423,MAD,MDL,2025-11-17T09:54:22+0000
17.6695,CUP,KMF,2025-11-17T09:54:22+0000
0.0565947,KMF,CUP,2025-11-17T09:54:22+0000
385.561,PLN,ARS,2025-11-17T09:54:22+0000
0.00259362,ARS,PLN,2025-11-17T09:54:22+0000
0.0296833,PYG,GYD,2025-11-17T09:54:22+0000
33.689,GYD,PYG,2025-11-17T09:54:22+0000
26.5744,STN,XOF,2025-11-17T09:54:22+0000
0.0376303,XOF,STN,2025-11-17T09:54:22+0000
0.00668047,ETB,BMD,2025-11-17T09:54:22+0000
149.69,BMD,ETB,2025-11-17T09:54:22+0000
0.00414422,LRD,GGP,2025-11-17T09:54:22+0000
241.3,GGP,LRD,2025-11-17T09:54:22+0000
22.3465,LYD,VUV,2025-11-17T09:54:22+0000
0.0447498,VUV,LYD,2025-11-17T09:54:22+0000
1.76646,HKD,ZWL,2025-11-17T09:54:22+0000
0.566104,ZWL,HKD,2025-11-17T09:54:22+0000
13.9596,PEN,EGP,2025-11-17T09:54:22+0000
0.0716355,EGP,PEN,2025-11-17T09:54:22+0000
1.92967,HKD,ERN,2025-11-17T09:54:22+0000
0.518223,ERN,HKD,2025-11-17T09:54:22+0000
0.696961,MAD,DKK,2025-11-17T09:54:22+0000
1.4348,DKK,MAD,2025-11-17T09:54:22+0000
6.7212,SGD,SVC,2025-11-17T09:54:22+0000
0.148783,SVC,SGD,2025-11-17T09:54:22+0000
1107.38,VEF,SYP,2025-11-17T09:54:22+0000
0.000903029,SYP,VEF,2025-11-17T09:54:22+0000
0.0020806,IRR,KGS,2025-11-17T09:54:22+0000
480.632,KGS,IRR,2025-11-17T09:54:22+0000
4.06945,GTQ,TWD,2025-11-17T09:54:22+0000
0.245733,TWD,GTQ,2025-11-17T09:54:22+0000
0.51608,VES,VUV,2025-11-17T09:54:22+0000
1.93768,VUV,VES,2025-11-17T09:54:22+0000
2.54028,MRU,RSD,2025-11-17T09:54:22+0000
0.393658,RSD,MRU,2025-11-17T09:54:22+0000
0.524902,BYN,ANG,2025-11-17T09:54:22+0000
1.90512,ANG,BYN,2025-11-17T09:54:22+0000
35.6714,TJS,HUF,2025-11-17T09:54:22+0000
0.0280337,HUF,TJS,2025-11-17T09:54:22+0000
0.09232,MRU,AED,2025-11-17T09:54:22+0000
10.8319,AED,MRU,2025-11-17T09:54:22+0000
6.66479,CUP,JMD,2025-11-17T09:54:22+0000
0.150042,JMD,CUP,2025-11-17T09:54:22+0000
1.3453,KMF,SOS,2025-11-17T09:54:22+0000
0.743327,SOS,KMF,2025-11-17T09:54:22+0000
7.08755,XAF,KHR,2025-11-17T09:54:22+0000
0.141092,KHR,XAF,2025-11-17T09:54:22+0000
0.0251351,MRU,BMD,2025-11-17T09:54:22+0000
39.785,BMD,MRU,2025-11-17T09:54:22+0000
0.337467,VEF,PEN,2025-11-17T09:54:22+0000
2.96325,PEN,VEF,2025-11-17T09:54:22+0000
1.295,SGD,BAM,2025-11-17T09:54:22+0000
0.772199,BAM,SGD,2025-11-17T09:54:22+0000
212.642,EUR,LRD,2025-11-17T09:54:22+0000
0.00470275,LRD,EUR,2025-11-17T09:54:22+0000
53.9667,AFN,UGX,2025-11-17T09:54:22+0000
0.0185299,UGX,AFN,2025-11-17T09:54:22+0000
0.68391,VUV,ALL,2025-11-17T09:54:22+0000
1.46218,ALL,VUV,2025-11-17T09:54:22+0000
0.00392658,CLP,QAR,2025-11-17T09:54:22+0000
254.675,QAR,CLP,2025-11-17T09:54:22+0000
0.754162,ZMW,NAD,2025-11-17T09:54:22+0000
1.32597,NAD,ZMW,2025-11-17T09:54:22+0000
0.000212376,UGX,GGP,2025-11-17T09:54:22+0000
4708.64,GGP,UGX,2025-11-17T09:54:22+0000
116.433,KYD,CVE,2025-11-17T09:54:22+0000
0.00858864,CVE,KYD,2025-11-17T09:54:22+0000
0.00149639,LAK,THB,2025-11-17T09:54:22+0000
668.277,THB,LAK,2025-11-17T09:54:22+0000
414.235,KWD,ISK,2025-11-17T09:54:22+0000
